borough,year,month_name,average_house_price,number_of_crimes
Barking and Dagenham,2012,April,164731.04,1264
Barking and Dagenham,2012,August,166179.7,1269
Barking and Dagenham,2012,December,167813.02,1260
Barking and Dagenham,2012,February,163607.22,1307
Barking and Dagenham,2012,January,163899.02,1437
Barking and Dagenham,2012,July,168007.15,1342
Barking and Dagenham,2012,June,168049.09,1298
Barking and Dagenham,2012,March,164437.52,1557
Barking and Dagenham,2012,May,166502.98,1371
Barking and Dagenham,2012,November,166508.02,1392
Barking and Dagenham,2012,October,165327.7,1299
Barking and Dagenham,2012,September,165304.48,1194
Barking and Dagenham,2013,April,169967.71,1297
Barking and Dagenham,2013,August,173720.45,1215
Barking and Dagenham,2013,December,183098.95,1159
Barking and Dagenham,2013,February,169460.75,1423
Barking and Dagenham,2013,January,167918.76,1453
Barking and Dagenham,2013,July,174604.28,1414
Barking and Dagenham,2013,June,172651.76,1203
Barking and Dagenham,2013,March,169413.84,1397
Barking and Dagenham,2013,May,170475.25,1297
Barking and Dagenham,2013,November,181909.73,1367
Barking and Dagenham,2013,October,176820.56,1327
Barking and Dagenham,2013,September,174761.46,1207
Barking and Dagenham,2014,April,193076.7,1183
Barking and Dagenham,2014,August,204974.04,1236
Barking and Dagenham,2014,December,218284.7,1241
Barking and Dagenham,2014,February,185428.45,1204
Barking and Dagenham,2014,January,184883.65,1254
Barking and Dagenham,2014,July,201936.12,1338
Barking and Dagenham,2014,June,198039.77,1269
Barking and Dagenham,2014,March,189876.91,1418
Barking and Dagenham,2014,May,196620.4,1218
Barking and Dagenham,2014,November,216631.09,1434
Barking and Dagenham,2014,October,213902.79,1296
Barking and Dagenham,2014,September,210412.14,1335
Barking and Dagenham,2015,April,222176.33,1278
Barking and Dagenham,2015,August,241734.72,1338
Barking and Dagenham,2015,December,253145.36,1410
Barking and Dagenham,2015,February,222918.55,1165
Barking and Dagenham,2015,January,220070.15,1251
Barking and Dagenham,2015,July,235702.39,1494
Barking and Dagenham,2015,June,227557.92,1362
Barking and Dagenham,2015,March,222416.94,1471
Barking and Dagenham,2015,May,221825.74,1436
Barking and Dagenham,2015,November,246955.46,1437
Barking and Dagenham,2015,October,243538.57,1329
Barking and Dagenham,2015,September,243479.16,1375
Barking and Dagenham,2016,April,266743.69,1339
Barking and Dagenham,2016,August,279483.75,1346
Barking and Dagenham,2016,December,285621.88,1278
Barking and Dagenham,2016,February,262861.02,1371
Barking and Dagenham,2016,January,258757.89,1376
Barking and Dagenham,2016,July,274242.53,1534
Barking and Dagenham,2016,June,269318.45,1449
Barking and Dagenham,2016,March,266208.95,1491
Barking and Dagenham,2016,May,268080.54,1555
Barking and Dagenham,2016,November,285853.44,1316
Barking and Dagenham,2016,October,286209.99,1323
Barking and Dagenham,2016,September,283653.5,1363
Barnet,2012,April,351150.01,1932
Barnet,2012,August,362585.6,1784
Barnet,2012,December,361370.67,1903
Barnet,2012,February,352047.77,1884
Barnet,2012,January,351280.04,1852
Barnet,2012,July,362335.28,1990
Barnet,2012,June,361667.28,1993
Barnet,2012,March,348611.04,2234
Barnet,2012,May,353468.96,1966
Barnet,2012,November,365376.05,2264
Barnet,2012,October,366526.59,2020
Barnet,2012,September,367108.87,1751
Barnet,2013,April,361906.99,1781
Barnet,2013,August,382032.29,1674
Barnet,2013,December,392168.34,1925
Barnet,2013,February,363063.89,1877
Barnet,2013,January,362880.05,1918
Barnet,2013,July,377519.93,1925
Barnet,2013,June,367753.91,1813
Barnet,2013,March,363754.4,2050
Barnet,2013,May,364636.98,1834
Barnet,2013,November,390597.64,1987
Barnet,2013,October,385628.57,1965
Barnet,2013,September,385304.34,1761
Barnet,2014,April,414854.68,1890
Barnet,2014,August,446442.74,1854
Barnet,2014,December,450576.63,1904
Barnet,2014,February,403841.97,1758
Barnet,2014,January,398384.34,1814
Barnet,2014,July,438504.79,1929
Barnet,2014,June,428806.18,1725
Barnet,2014,March,411452.62,1970
Barnet,2014,May,421203.0,1934
Barnet,2014,November,448523.49,1958
Barnet,2014,October,451041.43,2013
Barnet,2014,September,450728.35,1823
Barnet,2015,April,472033.24,1886
Barnet,2015,August,478796.06,1973
Barnet,2015,December,501292.88,2072
Barnet,2015,February,471362.71,1822
Barnet,2015,January,461382.52,1963
Barnet,2015,July,470262.04,2127
Barnet,2015,June,473321.76,2056
Barnet,2015,March,473232.8,1937
Barnet,2015,May,466124.82,1932
Barnet,2015,November,499849.95,2144
Barnet,2015,October,492109.85,2198
Barnet,2015,September,484486.77,1926
Barnet,2016,April,517408.28,2106
Barnet,2016,August,532357.93,2043
Barnet,2016,December,522223.27,1975
Barnet,2016,February,509863.31,1925
Barnet,2016,January,512166.31,1982
Barnet,2016,July,535272.28,2062
Barnet,2016,June,539830.21,2110
Barnet,2016,March,513342.2,2106
Barnet,2016,May,533675.74,2159
Barnet,2016,November,526421.54,2032
Barnet,2016,October,533792.72,2074
Barnet,2016,September,534921.13,2110
Bexley,2012,April,199592.79,938
Bexley,2012,August,205196.52,898
Bexley,2012,December,206956.14,952
Bexley,2012,February,199185.85,886
Bexley,2012,January,197426.91,921
Bexley,2012,July,203974.14,1005
Bexley,2012,June,202550.38,983
Bexley,2012,March,198638.09,1076
Bexley,2012,May,200115.66,1103
Bexley,2012,November,205592.18,947
Bexley,2012,October,205919.08,1029
Bexley,2012,September,205409.42,931
Bexley,2013,April,210863.99,914
Bexley,2013,August,213353.67,914
Bexley,2013,December,222076.32,1103
Bexley,2013,February,210775.76,964
Bexley,2013,January,209191.54,956
Bexley,2013,July,209984.32,969
Bexley,2013,June,210388.36,909
Bexley,2013,March,210529.7,942
Bexley,2013,May,210206.45,959
Bexley,2013,November,219390.53,1050
Bexley,2013,October,218834.44,966
Bexley,2013,September,216048.05,906
Bexley,2014,April,232024.24,1026
Bexley,2014,August,255182.92,938
Bexley,2014,December,261987.53,1016
Bexley,2014,February,226519.0,836
Bexley,2014,January,224320.52,926
Bexley,2014,July,249852.91,1113
Bexley,2014,June,242494.57,1026
Bexley,2014,March,227502.62,1075
Bexley,2014,May,236203.62,917
Bexley,2014,November,260538.66,1016
Bexley,2014,October,258267.34,1030
Bexley,2014,September,258619.33,925
Bexley,2015,April,261865.04,898
Bexley,2015,August,280370.59,846
Bexley,2015,December,295744.43,1031
Bexley,2015,February,261295.73,851
Bexley,2015,January,261751.29,1031
Bexley,2015,July,275330.4,990
Bexley,2015,June,267392.86,1033
Bexley,2015,March,261084.44,1039
Bexley,2015,May,264487.66,1063
Bexley,2015,November,288718.2,1080
Bexley,2015,October,286189.89,1162
Bexley,2015,September,286280.86,966
Bexley,2016,April,311888.63,915
Bexley,2016,August,326877.59,994
Bexley,2016,December,331024.54,1182
Bexley,2016,February,315289.38,1019
Bexley,2016,January,307550.17,1120
Bexley,2016,July,325380.52,1093
Bexley,2016,June,320635.6,1048
Bexley,2016,March,314140.43,1065
Bexley,2016,May,314430.75,998
Bexley,2016,November,331942.71,1152
Bexley,2016,October,330193.73,1148
Bexley,2016,September,329408.05,1106
Brent,2012,April,297524.73,2071
Brent,2012,August,333734.12,2282
Brent,2012,December,322170.53,2043
Brent,2012,February,305248.28,2190
Brent,2012,January,309544.97,2488
Brent,2012,July,323765.21,2219
Brent,2012,June,312586.04,2134
Brent,2012,March,305559.65,2424
Brent,2012,May,301924.02,2257
Brent,2012,November,314303.58,2234
Brent,2012,October,319366.71,2123
Brent,2012,September,323625.25,1892
Brent,2013,April,326443.57,1801
Brent,2013,August,347721.29,1907
Brent,2013,December,359846.26,1915
Brent,2013,February,323824.74,1941
Brent,2013,January,325755.63,2019
Brent,2013,July,336231.85,2032
Brent,2013,June,334340.7,1982
Brent,2013,March,323030.74,2053
Brent,2013,May,328625.35,2010
Brent,2013,November,361040.92,2135
Brent,2013,October,355724.56,2057
Brent,2013,September,353281.75,1907
Brent,2014,April,379175.29,1959
Brent,2014,August,406619.24,1933
Brent,2014,December,419643.09,1900
Brent,2014,February,364592.35,1813
Brent,2014,January,365189.88,2055
Brent,2014,July,404163.56,2140
Brent,2014,June,400902.3,2185
Brent,2014,March,367413.83,2054
Brent,2014,May,391225.22,2130
Brent,2014,November,412968.73,2034
Brent,2014,October,410328.48,2184
Brent,2014,September,414027.83,2039
Brent,2015,April,429920.96,1934
Brent,2015,August,443363.4,1950
Brent,2015,December,468583.65,2145
Brent,2015,February,420874.35,1835
Brent,2015,January,422944.05,1935
Brent,2015,July,438513.31,2001
